TICKET,Decision Trees,Building Predictive Models,Intro to CHAID,Classification and Clustering,Data Entry,FastTrack,Intermediate Techniques,Intro to Statistic platform,Intro to Platform & Statistics,Maps,Perceptual Mapping,Market Segmentation,Neural Networks,Scripting,Intro to Statistics,Tables,Time Series,ANOVA models,Rule prediction,Rule confidence,Rule ID
1310,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Intro to CHAID,0.643,107
1320,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,
1322,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,
1326,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,,,
1337,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,,
1345,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Building Predictive Models,0.654,44
1355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,Building Predictive Models,0.615,86
1361,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,
1373,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,,,
1374,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,Intro to CHAID,0.875,704
1376,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,Intro to CHAID,0.833,290
1387,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,
1388,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,,,
1389,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,
1411,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,,
1415,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,,
1417,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,,,
1421,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,,
1422,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,,
1424,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,,
1454,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,,,
1456,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,,
1469,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,Intro to CHAID,0.875,718
1478,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,
1493,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,Market Segmentation,0.667,27
1515,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,,
1517,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,,
1520,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,,
1522,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,,,
1523,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,Building Predictive Models,0.727,3
1527,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,Tables,0.583,627
1545,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,Intermediate Techniques,0.857,640
1548,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Building Predictive Models,0.833,48
1559,1,1,1,0,1,0,1,1,0,1,1,1,0,0,0,0,0,1,Classification and Clustering,0.833,352
1561,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,,,
1577,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,,,
1583,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,
1584,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,Time Series,0.714,418
1585,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,Classification and Clustering,0.833,342
1588,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,Intro to CHAID,0.857,566
1632,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Intro to Statistics,0.800,138
1653,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,Intro to Statistics,0.750,153
1659,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Intro to Statistics,0.615,59
1662,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Market Segmentation,0.500,108
1678,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Intro to CHAID,0.567,45
1679,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,Tables,0.583,627
1682,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,
1683,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,Market Segmentation,0.857,201
1693,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,,,
1726,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,,
1731,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,,
1734,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,Tables,0.800,156
1738,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,,
1742,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,Market Segmentation,0.556,283
1743,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,Tables,0.833,617
1754,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,Intro to Platform & Statistics,0.500,148
1757,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Intro to Platform & Statistics,0.500,148
1767,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,,
1784,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,,,
1785,0,1,1,1,0,1,0,0,0,1,0,1,0,0,1,1,0,1,Intro to Statistic platform,0.875,735
1787,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,,
1790,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,,
1792,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,,
1793,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,,
1796,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,,
1799,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,,
1831,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,,
1832,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,Intro to Statistics,0.769,174
1836,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,,,
1840,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,
